category,question,answer,type
Brain Teaser,"Clock Hands: At what time between 3:00 and 4:00 do the hour and minute hands of a clock overlap?","3:16:22 (approximately). The hands overlap when the minute hand catches up to the hour hand. At 3:00, the hour hand is at 90° and moves at 0.5°/minute. The minute hand moves at 6°/minute. Setting up the equation: 6t = 90 + 0.5t, solving gives t = 16.36 minutes = 16 minutes 22 seconds.",text
Brain Teaser,"Burning Ropes: You have two ropes, each takes exactly 60 minutes to burn completely. The ropes burn at inconsistent rates. How can you measure exactly 45 minutes?","Light the first rope at both ends and the second rope at one end simultaneously. When the first rope burns out (30 minutes), light the other end of the second rope. The second rope will burn out in another 15 minutes, giving you exactly 45 minutes total.",text
Brain Teaser,"100 Doors: There are 100 doors, initially all closed. Person 1 opens every door. Person 2 closes every 2nd door. Person 3 toggles every 3rd door. This continues until person 100. Which doors remain open?","Only doors 1, 4, 9, 16, 25, 36, 49, 64, 81, 100 remain open. These are perfect squares. A door is toggled once for each of its divisors. Only perfect squares have an odd number of divisors (because one divisor is repeated: the square root).",text
Brain Teaser,"Weighing Balls: You have 12 balls, identical except one is heavier. Using a balance scale only 3 times, how do you find the heavy ball?","First weighing: 4 balls vs 4 balls. If balanced, the heavy ball is in the remaining 4. If unbalanced, it's in the heavier group. Second weighing: Take 2 balls from the group of 4 and compare. If balanced, it's one of the remaining 2. If unbalanced, it's the heavier one. Third weighing: Compare the final 2 candidates if needed.",text
Brain Teaser,"Two Egg Problem: You have 2 eggs and a 100-story building. You want to find the highest floor from which an egg won't break. What's the minimum number of drops needed to guarantee finding the answer?","14 drops. Start at floor 14. If it breaks, test floors 1-13 with the second egg (worst case: 13 + 1 = 14 drops). If it doesn't break, go to floor 27 (14+13). Continue with gaps of 12, 11, 10, etc. The sequence is: 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 100.",text
Brain Teaser,"Airplane Seats: 100 passengers board a plane with 100 seats. The first passenger sits randomly. Each subsequent passenger sits in their assigned seat if available, otherwise sits randomly. What's the probability the last passenger sits in their assigned seat?","50%. At any point, only two seats matter: seat 1 and seat 100. If someone sits in seat 1, everyone else sits correctly and the last person gets seat 100. If someone sits in seat 100, the last person gets seat 1. The probability is 1/2.",text
Brain Teaser,"Coin Flips: Alice flips a coin until she gets HT. Bob flips until he gets HH. Who wins on average?","Alice wins. Expected flips for HT: 4. Expected flips for HH: 6. This is because after getting H, if Alice gets T she wins, but if she gets H she starts over. For Bob, after getting H, if he gets H he wins, but if he gets T he must start completely over.",text
Brain Teaser,"Pirates and Gold: 5 pirates must divide 100 gold coins. They vote in order (1st, 2nd, 3rd, 4th, 5th). A proposal passes with majority support. If it fails, the proposer is thrown overboard. Pirates are rational and prefer more gold, but prefer staying alive above all. How does pirate 1 divide the coins?","Pirate 1 takes 98 coins, gives 1 coin to pirate 3, and 1 coin to pirate 5. Reasoning backwards: If only pirates 4 and 5 remain, pirate 4 takes all 100 coins. So pirate 5 will support any proposal giving him ≥1 coin. Pirate 3 knows that if it gets to pirate 4, he gets nothing, so he'll accept ≥1 coin. Pirate 1 needs only 2 supporters (himself + 2 others) out of 5.",text
Brain Teaser,"Ants on a Triangle: 3 ants start at the vertices of an equilateral triangle. Each ant randomly picks a direction and walks along the edge. What's the probability they don't collide?","1/4. For no collisions, all ants must move in the same direction (clockwise or counterclockwise). Each ant has 2 choices, giving 2³ = 8 total outcomes. Only 2 outcomes avoid collisions: all clockwise or all counterclockwise. Probability = 2/8 = 1/4.",text
Brain Teaser,"Defective Coin: You have 1000 coins, one of which is defective (heads on both sides). You pick a coin randomly and flip it 10 times, getting 10 heads. What's the probability it's the defective coin?","Using Bayes' theorem: P(defective|10 heads) = P(10 heads|defective) × P(defective) / P(10 heads) = 1 × (1/1000) / [(1/1000) × 1 + (999/1000) × (1/2)¹⁰] = (1/1000) / [(1/1000) + (999/1000) × (1/1024)] ≈ 0.512 or about 51.2%.",text
