category,question,answer,type
Fast Math,"17 × 13","221",math
Fast Math,"√441","21",math
Fast Math,"23²","529",math
Fast Math,"144 ÷ 12","12",math
Fast Math,"15% of 240","36",math
Fast Math,"2⁸","256",math
Fast Math,"73 + 89","162",math
Fast Math,"19 × 25","475",math
Fast Math,"√169","13",math
Fast Math,"16²","256",math
Fast Math,"357 - 189","168",math
Fast Math,"8! ÷ 6!","56",math
Fast Math,"24 × 37","888",math
Fast Math,"12.5% of 320","40",math
Fast Math,"3⁵","243",math
Fast Math,"95 + 127","222",math
Fast Math,"√225","15",math
Fast Math,"18 × 45","810",math
Fast Math,"25²","625",math
Fast Math,"480 ÷ 15","32",math
Fast Math,"35% of 180","63",math
Fast Math,"11 × 99","1089",math
Fast Math,"234 - 157","77",math
Fast Math,"2¹⁰","1024",math
Fast Math,"√324","18",math
Fast Math,"14 × 17","238",math
Fast Math,"72 + 139","211",math
Fast Math,"20% of 450","90",math
Fast Math,"21²","441",math
Fast Math,"6⁴","1296",math
Fast Math,"156 × 4","624",math
Fast Math,"729 ÷ 27","27",math
Fast Math,"√289","17",math
Fast Math,"15 × 67","1005",math
Fast Math,"418 - 239","179",math
Fast Math,"37.5% of 160","60",math
Fast Math,"13 × 84","1092",math
Fast Math,"19²","361",math
Fast Math,"85 + 276","361",math
Fast Math,"2⁷","128",math
Fast Math,"√196","14",math
Fast Math,"28 × 25","700",math
Fast Math,"675 ÷ 25","27",math
Fast Math,"60% of 85","51",math
Fast Math,"17²","289",math
Fast Math,"346 - 178","168",math
Fast Math,"16 × 31","496",math
Fast Math,"5⁶","15625",math
Fast Math,"92 + 219","311",math
Fast Math,"√361","19",math
