category,question,answer,type
Finance,"Black-Scholes Intuition: What happens to a call option's value when volatility increases, and why?","Call option value increases. Higher volatility increases the probability of large price movements. Since options have asymmetric payoffs (unlimited upside, limited downside), higher volatility increases the expected payoff while the downside remains capped at zero.",text
Finance,"Delta Hedging: You're short a call option with delta 0.6. The underlying stock moves up by $1. How much stock do you need to buy to maintain delta neutrality?","You need to buy 0.6 shares per option contract. Being short the call means you have -0.6 delta exposure per contract. To neutralize this, you need +0.6 delta from the underlying stock, which means buying 0.6 shares.",text
Finance,"Risk-Free Rate Impact: How does an increase in the risk-free rate affect call and put option prices?","Call prices increase, put prices decrease. Higher risk-free rates increase the present value of the expected stock price (since we discount at a higher rate in the risk-neutral measure), making calls more valuable. For puts, the higher discount rate reduces the present value of the strike price, making puts less valuable.",text
Finance,"Put-Call Parity: A stock trades at $100, a call option with strike $105 trades at $8, and the risk-free rate is 5%. What should a put option with the same strike and expiration trade at? (Assume 1 year to expiration)","Using put-call parity: C - P = S - K × e^(-rT)\n8 - P = 100 - 105 × e^(-0.05×1)\n8 - P = 100 - 105 × 0.9512 = 100 - 99.88 = 0.12\nTherefore, P = 8 - 0.12 = $7.88",text
Finance,"Gamma Risk: Explain why gamma is highest for at-the-money options.","Gamma measures the rate of change of delta. At-the-money options have the highest uncertainty about finishing in or out of the money, so small stock price changes have the largest impact on the option's moneyness and thus delta. Deep in-the-money options have delta ≈ 1, and deep out-of-the-money options have delta ≈ 0, both with low gamma.",text
Finance,"Arbitrage Opportunity: A stock trades at $50. A call option with strike $45 trades at $3. Is there an arbitrage opportunity?","Yes. The call option is trading below its intrinsic value of $50 - $45 = $5. Arbitrage: Buy the call for $3, exercise immediately for $45, sell the stock for $50. Profit = $50 - $45 - $3 = $2 per contract.",text
Finance,"Volatility Smile: Why do out-of-the-money puts typically have higher implied volatility than at-the-money options?","The volatility smile/skew exists because: (1) Crash risk - markets tend to fall faster than they rise, increasing demand for downside protection; (2) Leverage effect - as stock prices fall, debt-to-equity ratios increase, making stocks riskier; (3) Supply/demand imbalances - institutional demand for portfolio insurance drives up put prices.",text
Finance,"Forward Price Calculation: A non-dividend paying stock trades at $100. The risk-free rate is 4%. What's the 6-month forward price?","F = S × e^(rT) = $100 × e^(0.04×0.5) = $100 × e^0.02 = $100 × 1.0202 = $102.02",text
Finance,"Dividend Impact on Options: How do dividends affect call and put option prices?","Dividends decrease call prices and increase put prices. Dividends reduce the expected future stock price (since the stock goes ex-dividend), which reduces the expected payoff of calls and increases the expected payoff of puts. The stock price drops by approximately the dividend amount on the ex-dividend date.",text
Finance,"American vs European Options: When is it optimal to exercise an American call option early on a non-dividend paying stock?","Never. It's never optimal to exercise an American call early on a non-dividend paying stock. The option has time value that would be lost upon exercise. It's always better to sell the option in the market than to exercise it early.",text
