category,question,answer,type
Probability,"Two Envelope Problem: You have two envelopes, one containing twice as much money as the other. You pick one envelope and find $100 inside. Should you switch to the other envelope?","You should NOT switch. This is a classic paradox. The envelope you picked contains $100, so the other envelope contains either $50 or $200 with equal probability. The expected value of switching is (0.5 × $50) + (0.5 × $200) = $125, which seems better than $100. However, this reasoning is flawed because it assumes equal probability for the two scenarios, which isn't correct given the constraint that one envelope contains exactly twice the other.",text
Probability,"Coin Bias Estimation: You flip a biased coin n times and get h heads. What's your best estimate of the probability p that the coin lands heads?","Using maximum likelihood estimation, the best estimate is p̂ = h/n. This maximizes the likelihood function L(p) = C(n,h) × p^h × (1-p)^(n-h). Taking the derivative and setting to zero: dL/dp = 0 gives p̂ = h/n.",text
Probability,"Bertrand's Box Paradox: You have three boxes: one with two gold coins, one with two silver coins, and one with one gold and one silver coin. You randomly pick a box and draw a gold coin. What's the probability the other coin in the same box is also gold?","2/3. Using Bayes' theorem: P(GG|drew gold) = P(drew gold|GG) × P(GG) / P(drew gold) = (1 × 1/3) / (1/2) = 2/3. The key insight is that drawing a gold coin from the GG box can happen in two ways (either coin), while drawing from the GS box can only happen one way.",text
Probability,"Gambler's Ruin: A gambler starts with $k and plays until reaching $0 or $N. Each round, they win $1 with probability p and lose $1 with probability q = 1-p. What's the probability they reach $N before $0?","If p ≠ 0.5: P(k) = [1 - (q/p)^k] / [1 - (q/p)^N]; If p = 0.5: P(k) = k/N. This is derived by setting up the recurrence relation P(k) = p × P(k+1) + q × P(k-1) with boundary conditions P(0) = 0 and P(N) = 1.",text
Probability,"Monty Hall with n Doors: There are n doors with one prize. You pick one door, then the host opens k doors (where k < n-2) that don't have the prize. Should you switch?","Yes, switch. Your initial probability of winning is 1/n. After the host opens k doors, there are n-k-1 remaining doors you can switch to. The probability the prize is among these doors is (n-1)/n. Since you're switching to all of them collectively, your winning probability becomes (n-1)/n, which is better than 1/n.",text
Probability,"Coupon Collector with Bias: A cereal company produces n different coupons with probabilities p₁, p₂, ..., pₙ. What's the expected number of boxes you need to buy to collect all coupons?","This is complex for general probabilities. For the special case of uniform probabilities (pᵢ = 1/n), the expected number is n × Hₙ where Hₙ = 1 + 1/2 + 1/3 + ... + 1/n ≈ n × ln(n) + γn for large n (γ ≈ 0.577 is Euler's constant).",text
Probability,"Secretary Problem: You interview n candidates sequentially and must decide immediately after each interview whether to hire them. You can't go back to previous candidates. What strategy maximizes your probability of hiring the best candidate?","Use the '37% rule': observe the first ⌊n/e⌋ candidates without hiring anyone, then hire the first candidate better than all previously seen ones. This gives a success probability approaching 1/e ≈ 0.368 as n → ∞.",text
Probability,"Ballot Problem: In an election, candidate A receives a votes and candidate B receives b votes, where a > b. What's the probability that A is always ahead throughout the counting?","(a-b)/(a+b). This is Bertrand's ballot theorem. The key insight is that the number of valid ballot sequences where A is always ahead equals the total number of sequences times (a-b)/(a+b).",text
Probability,"Random Walk Return Probability: A symmetric random walk starts at 0. What's the probability it returns to 0 at least once?","1 (certain return). For a symmetric random walk in one dimension, P(return to 0) = 1. However, the expected return time is infinite. In two dimensions, return probability is also 1, but in three or more dimensions, the return probability is less than 1.",text
Probability,"Geometric Distribution Race: Two people flip coins with success probabilities p₁ and p₂ respectively. What's the probability person 1 gets their first success before person 2?","p₁/(p₁ + p₂ - p₁p₂). We can derive this by considering all possible scenarios: person 1 succeeds on round 1 (probability p₁), both fail on round 1 and person 1 succeeds on round 2, etc. This forms a geometric series.",text
